longitude,latitude,source,countryCode,basisOfRecord
145.92,-16.88,Synthetic_North,AU,HumanObservation
146.31,-17.21,Synthetic_North,AU,HumanObservation
146.72,-17.64,Synthetic_North,AU,HumanObservation
147.04,-18.02,Synthetic_North,AU,HumanObservation
147.42,-18.36,Synthetic_North,AU,HumanObservation
147.81,-18.71,Synthetic_North,AU,HumanObservation
148.18,-19.04,Synthetic_North,AU,HumanObservation
148.57,-19.42,Synthetic_North,AU,HumanObservation
148.96,-19.83,Synthetic_North,AU,HumanObservation
149.33,-20.19,Synthetic_North,AU,HumanObservation
149.71,-20.58,Synthetic_North,AU,HumanObservation
150.08,-21.03,Synthetic_North,AU,HumanObservation
150.45,-21.44,Synthetic_North,AU,HumanObservation
150.82,-21.88,Synthetic_North,AU,HumanObservation
151.19,-22.27,Synthetic_North,AU,HumanObservation
151.56,-22.71,Synthetic_North,AU,HumanObservation
152.01,-23.16,Synthetic_North,AU,HumanObservation
152.36,-23.58,Synthetic_North,AU,HumanObservation
152.73,-24.03,Synthetic_North,AU,HumanObservation
153.09,-24.46,Synthetic_North,AU,HumanObservation
144.86,-25.12,Synthetic_East,AU,HumanObservation
145.22,-25.51,Synthetic_East,AU,HumanObservation
145.58,-25.94,Synthetic_East,AU,HumanObservation
145.93,-26.37,Synthetic_East,AU,HumanObservation
146.29,-26.79,Synthetic_East,AU,HumanObservation
146.64,-27.22,Synthetic_East,AU,HumanObservation
147.02,-27.64,Synthetic_East,AU,HumanObservation
147.38,-28.05,Synthetic_East,AU,HumanObservation
147.75,-28.46,Synthetic_East,AU,HumanObservation
148.11,-28.88,Synthetic_East,AU,HumanObservation
148.47,-29.31,Synthetic_East,AU,HumanObservation
148.84,-29.72,Synthetic_East,AU,HumanObservation
149.19,-30.14,Synthetic_East,AU,HumanObservation
149.56,-30.55,Synthetic_East,AU,HumanObservation
149.93,-30.96,Synthetic_East,AU,HumanObservation
150.28,-31.38,Synthetic_East,AU,HumanObservation
150.65,-31.79,Synthetic_East,AU,HumanObservation
151.02,-32.21,Synthetic_East,AU,HumanObservation
151.38,-32.62,Synthetic_East,AU,HumanObservation
151.76,-33.04,Synthetic_East,AU,HumanObservation
137.22,-15.43,Synthetic_West,AU,HumanObservation
137.68,-15.86,Synthetic_West,AU,HumanObservation
138.14,-16.28,Synthetic_West,AU,HumanObservation
138.61,-16.69,Synthetic_West,AU,HumanObservation
139.07,-17.12,Synthetic_West,AU,HumanObservation
139.53,-17.55,Synthetic_West,AU,HumanObservation
140.01,-17.98,Synthetic_West,AU,HumanObservation
140.46,-18.41,Synthetic_West,AU,HumanObservation
140.93,-18.84,Synthetic_West,AU,HumanObservation
141.39,-19.27,Synthetic_West,AU,HumanObservation
141.86,-19.71,Synthetic_West,AU,HumanObservation
142.32,-20.15,Synthetic_West,AU,HumanObservation
142.78,-20.59,Synthetic_West,AU,HumanObservation
143.25,-21.03,Synthetic_West,AU,HumanObservation
143.71,-21.47,Synthetic_West,AU,HumanObservation
144.18,-21.91,Synthetic_West,AU,HumanObservation
144.64,-22.35,Synthetic_West,AU,HumanObservation
145.11,-22.79,Synthetic_West,AU,HumanObservation
145.57,-23.23,Synthetic_West,AU,HumanObservation
146.04,-23.67,Synthetic_West,AU,HumanObservation
